number,value,datetime_start,datetime_complete,duration,params_activation,params_dropout,params_hidden_units_layer_0,params_hidden_units_layer_1,params_hidden_units_layer_2,params_hidden_units_layer_3,params_hidden_units_layer_4,params_hidden_units_layer_5,params_hidden_units_layer_6,params_hidden_units_layer_7,params_hidden_units_layer_8,params_hidden_units_layer_9,params_lr,params_n_layers,params_use_residual,state
36,0.6042551488477901,2025-11-30 17:08:25.560609,2025-11-30 17:08:26.366053,0 days 00:00:00.805444,tanh,0.032137335518252166,128,1024.0,1024.0,128.0,512.0,64.0,256.0,512.0,1024.0,,0.0010490486393827704,9,True,PRUNED
37,0.5306744255853828,2025-11-30 17:08:26.366496,2025-11-30 17:08:27.145155,0 days 00:00:00.778659,relu,0.06474398277825,1024,64.0,512.0,1024.0,256.0,2048.0,32.0,512.0,,,0.0007339461655626681,8,True,PRUNED
38,0.2828648993651883,2025-11-30 17:08:27.145518,2025-11-30 17:08:45.707258,0 days 00:00:18.561740,relu,0.002275781152278071,32,128.0,32.0,1024.0,64.0,32.0,64.0,,,,0.0009415436317748725,7,True,PRUNED
39,0.6735786303552291,2025-11-30 17:08:45.707639,2025-11-30 17:08:46.570631,0 days 00:00:00.862992,tanh,0.10781225442344373,512,256.0,128.0,1024.0,64.0,256.0,2048.0,2048.0,,,0.0013804851209634921,8,True,PRUNED
40,0.5310668488036234,2025-11-30 17:08:46.571120,2025-11-30 17:08:47.587738,0 days 00:00:01.016618,relu,0.14585420889720663,2048,512.0,512.0,2048.0,1024.0,512.0,1024.0,,,,0.0005927608208386704,7,True,PRUNED
41,0.6393841131986984,2025-11-30 17:08:47.588083,2025-11-30 17:08:48.124834,0 days 00:00:00.536751,relu,0.02957449513031576,32,128.0,64.0,512.0,32.0,1024.0,,,,,0.0019059841780017645,6,False,PRUNED
42,0.28169779635620085,2025-11-30 17:08:48.125355,2025-11-30 17:09:16.909020,0 days 00:00:28.783665,relu,0.0015867627194579808,32,128.0,2048.0,512.0,32.0,512.0,,,,,0.005007464657949317,6,False,COMPLETE
43,0.8940170418035659,2025-11-30 17:09:16.909425,2025-11-30 17:09:17.375028,0 days 00:00:00.465603,relu,0.024969142691960607,32,,,,,,,,,,0.000756708833700996,1,True,PRUNED
44,0.6372513400844896,2025-11-30 17:09:17.375387,2025-11-30 17:09:18.084054,0 days 00:00:00.708667,relu,0.0553117505140321,32,128.0,2048.0,128.0,256.0,256.0,128.0,,,,0.00683018814118543,7,False,PRUNED
45,0.5341401214216376,2025-11-30 17:09:18.084451,2025-11-30 17:09:18.881029,0 days 00:00:00.796578,relu,0.08691319219133237,32,128.0,1024.0,1024.0,32.0,1024.0,128.0,128.0,32.0,,0.002250776730969522,9,True,PRUNED
46,0.5296586688398232,2025-11-30 17:09:18.881879,2025-11-30 17:09:19.333472,0 days 00:00:00.451593,relu,0.019125530194584565,128,256.0,,,,,,,,,0.0025891173235444687,2,False,PRUNED
47,0.6370534997031252,2025-11-30 17:09:19.334004,2025-11-30 17:09:19.921794,0 days 00:00:00.587790,tanh,0.07155656623679806,64,128.0,256.0,32.0,,,,,,,0.0010583081020615443,4,True,PRUNED
48,0.5790466287264963,2025-11-30 17:09:19.922170,2025-11-30 17:09:20.764776,0 days 00:00:00.842606,leaky_relu,0.17809666298506044,1024,32.0,32.0,512.0,64.0,1024.0,1024.0,64.0,32.0,2048.0,0.0013079254733779073,10,True,PRUNED
49,0.8062431792231234,2025-11-30 17:09:20.765200,2025-11-30 17:09:21.346374,0 days 00:00:00.581174,relu,0.39251768999436754,32,64.0,2048.0,128.0,2048.0,32.0,128.0,,,,0.0005610683592633861,7,False,PRUNED
50,0.2555748573061078,2025-11-30 17:09:21.346776,2025-11-30 17:09:53.088190,0 days 00:00:31.741414,relu,0.031196264083398793,512,128.0,512.0,1024.0,64.0,,,,,,0.000662519452025406,5,True,COMPLETE
51,0.23925075604810686,2025-11-30 17:09:53.088663,2025-11-30 17:10:24.880917,0 days 00:00:31.792254,relu,0.00013062191808961056,512,128.0,512.0,1024.0,64.0,,,,,,0.0006709607005209193,5,True,COMPLETE
52,0.25597084946532395,2025-11-30 17:10:24.881312,2025-11-30 17:10:56.676883,0 days 00:00:31.795571,relu,0.04130336325970919,512,128.0,512.0,1024.0,64.0,,,,,,0.0006708927016332444,5,True,COMPLETE
